2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
84	Intel Core i9-7920X	2.9 GHz	12	LGA2066	23442	 
85	Intel Xeon Gold 6230	2.1 GHz	20	LGA3647	23330	 
86	AMD Ryzen 7 3800X	3.9 GHz	8	AM4	23318	 
87	Intel Xeon W-2170B	2.5 GHz	14	LGA-2066	23300	 
88	Intel Xeon Platinum 8176	2.1 GHz	28	LGA3647	23179	 
89	Intel Core i9-10900X	3.7 GHz	10	LGA2066	23094	 
90	Intel Xeon Gold 6146	3.2 GHz	12	LGA3647	23014	 
91	AMD Ryzen Threadripper 1920X	3.5 GHz	12	sTR4	23000	 
92	Intel Xeon Platinum 8160	2.1 GHz	24	LGA3647	22996	 
93	Intel Xeon W-2255	3.7 GHz	10	LGA2066	22841	 
94	AMD Ryzen 5 5600X	3.7 GHz	6	AM4	22824	 
95	AMD Ryzen 7 3700X	3.6 GHz	8	AM4	22754	 
96	Intel Xeon Gold 6140	2.3 GHz	18	LGA3647	22733	 
97	Intel Xeon Gold 6132	2.6 GHz	14	LGA3647	22679	 
98	AMD EPYC 7F32	3.7 GHz	8	SP3	22303	 
99	Intel Xeon Gold 6152	2.1 GHz	22	LGA3647	22291	 
100	Intel Xeon Gold 5218	2.3 GHz	16	LGA3647	22117	 
101	AMD Ryzen 7 PRO 3700	3.6 GHz	8	AM4	22099	 
102	Intel Core i9-10910	3.6 GHz	10	LGA1200	22090	 
103	Intel Xeon W-1290	3.2 GHz	10	LGA1200	21882	 
104	Intel Xeon Gold 6136	3.0 GHz	12	LGA3647	21835	 
105	Intel Xeon Gold 6130T	2.1 GHz	16	LGA3647	21803	 
106	AMD Ryzen 7 4700G	3.6 GHz	8	AM4	21667	 
107	Intel Core i9-9900X	3.5 GHz	10	LGA2066	21613	 
108	Intel Core i9-10900	2.8 GHz	10	LGA1200	21321	 
109	Intel Core i9-7900X	3.3 GHz	10	LGA2066	21314	 
110	AMD EPYC 7281	2.1 GHz	16	SP3	21230	 
111	AMD Ryzen 7 PRO 4700G	3.6 GHz	8	AM4	20899	 
112	Intel Xeon W-2155	3.3 GHz	10	LGA2066	20887	 
113	AMD Ryzen Threadripper 2990X	3.4 GHz	32	TR4	20885	 
114	AMD EPYC 7451	2.3 GHz	24	SP3	20738	 
115	AMD Ryzen 7 PRO 4750G	3.6 GHz	8	AM4	20729	 
116	Intel Core i9-9820X	3.3 GHz	10	LGA2066	20702	 
117	AMD Ryzen 7 4700GE	3.1 GHz	8	AM4	20671	 
118	Intel Xeon E5-2699 v4	2.2 GHz	22	LGA2011-3	20306	 
119	Intel Xeon W-2150B	3.0 GHz	10	LGA2066	20236	 
120	AMD Ryzen 7 PRO 4750GE	3.1 GHz	8	AM4	20163	 
121	Intel Xeon Gold 6226	2.7 GHz	12	LGA3647	19810	 
122	AMD Ryzen 9 4900HS	3.0 GHz	8	FP6	19801	 
123	Intel Core i7-10700K	3.8 GHz	8	LGA1200	19707	 
124	AMD Ryzen 9 4900H	3.3 GHz	8	FP6	19643	 
125	Intel Xeon E5-2682 v4	2.5 GHz	16	LGA2011-3	19634	 
126	AMD EPYC 7351P	2.4 GHz	16	SP3	19589	 
127	Intel Xeon W-1270	3.4 GHz	8	LGA1200	19536	 
128	Intel Core i9-10900F	2.8 GHz	10	LGA1200	19471	 
129	Intel Core i7-10700KF	3.8 GHz	8	LGA1200	19442	 
130	Intel Core i9-9900KS	4.0 GHz	8	LGA1151-2	19414	 
131	Intel Xeon Gold 6137	3.9 GHz	16	LGA-3647	19365	 
132	Intel Core i7-7900X	3.3 GHz	10	LGA2066	19358	 
133	AMD Ryzen 7 4800H	2.9 GHz	8	FP6	19355	 
134	Intel Xeon E5-2699 v3	2.3 GHz	18	LGA2011-v3	19349	 
135	Intel Xeon W-2245	3.9 GHz	8	LGA2066	19305	 
136	Intel Xeon E5-2695 v4	2.1 GHz	18	LGA2011-3	19299	 
137	Intel Xeon Gold 6126	2.6 GHz	12	LGA3647	19223	 
138	AMD Ryzen 5 3600XT	3.8 GHz	6	AM4	19058	 
139	Intel Xeon E5-2697A v4	2.6 GHz	16	LGA2011-3	18996	 
140	Intel Xeon E5-2676 v4	2.4 GHz	16	LGA2011-3	18978	 
141	AMD Ryzen 7 4800HS	2.9 GHz	8	FP6	18971	 
142	Intel Core i9-9900K	3.6 GHz	8	LGA1151-2	18886	 
143	Intel Core i9-9900KF	3.6 GHz	8	LGA1151-2	18853	 
144	Intel Xeon E5-2696 v3	2.3 GHz	18	LGA2011-v3	18774	 
145	Intel Xeon D-2187NT	2.0 GHz	16	BGA2518	18727	 
146	Intel Xeon Gold 6144	3.5 GHz	8	LGA3647	18656	 
147	Intel Xeon Gold 6130	2.1 GHz	16	LGA3647	18634	 
148	Intel Xeon Silver 4216	2.1 GHz	16	LGA3647	18561	 
149	Intel Xeon E5-2698 v3	2.3 GHz	16	LGA2011-v3	18429	 
150	Intel Xeon W-2145	3.7 GHz	8	LGA2066	18423	 
151	Intel Xeon D-2183IT	2.2 GHz	16	BGA2518	18385	 
152	AMD Ryzen 7 Extreme Edition	1.8 GHz	8	FP6	18378	 
153	AMD Ryzen 5 3600X	3.8 GHz	6	AM4	18324	 
154	Intel Xeon E5-2697 v3	2.6 GHz	14	LGA2011-v3	18237	 
155	Intel Core i7-9800X	3.8 GHz	8	LGA2066	18202	 
